date,series_id,value
2012-06-20,OIL_BRENT,93.5
2012-06-21,OIL_BRENT,89.22
2012-06-22,OIL_BRENT,89.22
2012-06-25,OIL_BRENT,88.69
2012-06-26,OIL_BRENT,90.19
2012-06-27,OIL_BRENT,92.06
2012-06-28,OIL_BRENT,91.02
2012-06-29,OIL_BRENT,94.17
2012-07-02,OIL_BRENT,95.28
2012-07-03,OIL_BRENT,99.89
2012-07-05,OIL_BRENT,101.54
2012-07-06,OIL_BRENT,98.5
2012-07-09,OIL_BRENT,99.94
2012-07-10,OIL_BRENT,99.15
2012-07-11,OIL_BRENT,99.23
2012-07-12,OIL_BRENT,99.18
2012-07-13,OIL_BRENT,101.91
2012-07-16,OIL_BRENT,102.1
2012-07-17,OIL_BRENT,104.21
2012-07-18,OIL_BRENT,105.92
2012-07-19,OIL_BRENT,107.79
2012-07-20,OIL_BRENT,106.98
2012-07-23,OIL_BRENT,103.91
2012-07-24,OIL_BRENT,103.57
2012-07-25,OIL_BRENT,102.35
2012-07-26,OIL_BRENT,104.77
2012-07-27,OIL_BRENT,106.3
2012-07-30,OIL_BRENT,106.54
2012-07-31,OIL_BRENT,105.93
2012-08-01,OIL_BRENT,106.78
2012-08-02,OIL_BRENT,107.55
2012-08-03,OIL_BRENT,109.57
2012-08-06,OIL_BRENT,110.01
2012-08-07,OIL_BRENT,112.39
2012-08-08,OIL_BRENT,113.42
2012-08-09,OIL_BRENT,113.52
2012-08-10,OIL_BRENT,113.13
2012-08-13,OIL_BRENT,114.48
2012-08-14,OIL_BRENT,113.9
2012-08-15,OIL_BRENT,115.51
2012-08-16,OIL_BRENT,116.12
2012-08-17,OIL_BRENT,115.2
2012-08-20,OIL_BRENT,115.5
2012-08-21,OIL_BRENT,116.03
2012-08-22,OIL_BRENT,115.77
2012-08-23,OIL_BRENT,117.45
2012-08-24,OIL_BRENT,115.76
2012-08-27,OIL_BRENT,113.74
2012-08-28,OIL_BRENT,112.62
2012-08-29,OIL_BRENT,112.53
2012-08-30,OIL_BRENT,112.28
2012-08-31,OIL_BRENT,113.93
2012-09-04,OIL_BRENT,114.98
2012-09-05,OIL_BRENT,113.32
2012-09-06,OIL_BRENT,114.5
2012-09-07,OIL_BRENT,113.64
2012-09-10,OIL_BRENT,113.84
2012-09-11,OIL_BRENT,114.86
2012-09-12,OIL_BRENT,114.86
2012-09-13,OIL_BRENT,116.0
2012-09-14,OIL_BRENT,117.48
2012-09-17,OIL_BRENT,116.7
2012-09-18,OIL_BRENT,113.29
2012-09-19,OIL_BRENT,108.49
2012-09-20,OIL_BRENT,109.41
2012-09-21,OIL_BRENT,111.27
2012-09-24,OIL_BRENT,109.2
2012-09-25,OIL_BRENT,110.77
2012-09-26,OIL_BRENT,108.99
2012-09-27,OIL_BRENT,111.45
2012-09-28,OIL_BRENT,111.36
2012-10-01,OIL_BRENT,112.58
2012-10-02,OIL_BRENT,112.49
2012-10-03,OIL_BRENT,109.32
2012-10-04,OIL_BRENT,110.48
2012-10-05,OIL_BRENT,112.17
2012-10-08,OIL_BRENT,112.6
2012-10-09,OIL_BRENT,114.32
2012-10-10,OIL_BRENT,116.11
2012-10-11,OIL_BRENT,116.18
2012-10-12,OIL_BRENT,115.17
2012-10-15,OIL_BRENT,115.0
2012-10-16,OIL_BRENT,115.0
2012-10-17,OIL_BRENT,113.49
2012-10-18,OIL_BRENT,112.58
2012-10-19,OIL_BRENT,111.89
2012-10-22,OIL_BRENT,109.62
2012-10-23,OIL_BRENT,107.53
2012-10-24,OIL_BRENT,107.66
2012-10-25,OIL_BRENT,107.64
2012-10-26,OIL_BRENT,108.9
2012-10-29,OIL_BRENT,109.33
2012-10-30,OIL_BRENT,109.4
